Part,Quantity,Purchase Link
LEGO Education SPIKE Prime Set (45678),1,https://education.lego.com/en-us/products/lego-education-spike-prime-set/45678/
LEGO Technic Large Angular Motor (45602),1,https://education.lego.com/en-us/products/lego-technic-large-angular-motor/45602/
LEGO Technic Medium Angular Motor (45603),2,https://education.lego.com/en-us/products/lego-technic-medium-angular-motor/45603/
LEGO Technic Color Sensor (45605),1,https://education.lego.com/en-us/products/lego-technic-color-sensor/45605/
LEGO Technic Distance Sensor (45604),1,https://education.lego.com/en-us/products/lego-technic-distance-sensor/45604/
LEGO building elements,1 set,https://education.lego.com/en-us/products/lego-education-spike-prime-set/45678/
